customer_id,segment,C1,C2,C3,C4,C5,G1,G2,G3,P1,P2,P3,P4,D1,D2,D3,A1,A2,A3,A4,A5,sar_last_12m,onboarded
NG-10061,Personal,Sole trader or joint,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,Not enabled,"Mandate, evidenced","Digital, own app","Electronic, one source",Comparison site,"5k to 25k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2024-02-29
NG-10387,Limited company,"UK company, natural owners",Three to five UBOs,"MSB, TCSP or HVD",No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, basic",Over 10k a month,Regular payments,Unexplained signatories,"Digital, assisted",Documents face to face,Register checked,"Over 25k, consistent",10 to 30 percent,None,Named businesses,Consistent,No,2024-02-01
NG-10055,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,Current account with credit,Under 2k a month,"Enabled, unused",Sole party,"Digital, own app","Electronic, one source",Direct,"5k to 25k, consistent",No cash credits,None,Named businesses,Consistent,Yes,2024-12-16
NG-10035,Personal,Individual,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,"Enabled, unused",Sole party,"Digital, assisted",Documents face to face,Comparison site,"Under 5k, consistent",Up to 10 percent,Up to 10 percent,Employer and retail,Consistent,No,2024-01-24
NG-10001,Personal,Sole trader or joint,Natural person,Regulated profession,No match,False positive,United Kingdom,UK tax residence only,Unlisted countries,Current account with credit,Withdrawal only,"Enabled, unused",Sole party,"Digital, own app","Electronic, one source",Register not confirmed,"Under 5k, consistent",Up to 10 percent,Up to 10 percent,Employer and retail,Resolved on follow-up,No,2024-07-19
NG-10090,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,Not enabled,"Joint, related","Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",No cash credits,None,Employer and retail,Consistent,No,2025-02-13
NG-10240,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,Occasional payments,Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",No cash credits,None,Named businesses,Consistent,No,2024-05-21
NG-10300,Personal,Individual,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",No cash facility,Occasional payments,"Joint, related","Digital, own app","Electronic, one source",Comparison site,"Under 5k, consistent",No cash credits,None,Many individuals,Consistent,No,2024-04-08
NG-10297,Personal,Individual,Natural person,Employed or pension,No match,"Adverse media, unproven",United Kingdom,UK tax residence only,UK only,Current account with credit,2k to 10k a month,"Enabled, unused",Sole party,"Digital, own app","Electronic, one source",Direct,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,"Minor, explained",No,2025-03-30
NG-10070,Personal,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Withdrawal only,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",Up to 10 percent,Up to 10 percent,Employer and retail,Consistent,No,2024-04-14
NG-10041,Personal,Sole trader or joint,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",No cash credits,Up to 10 percent,Employer and retail,Resolved on follow-up,No,2025-12-01
NG-10007,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,"Further tax residence, monitored",UK only,Savings only,Withdrawal only,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Comparison site,"Under 5k, consistent",Up to 10 percent,Up to 10 percent,Sector 4 counterparties,Consistent,No,2024-05-01
NG-10024,Personal,Individual,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,Regular payments,"Joint, related","Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",10 to 30 percent,None,Employer and retail,Consistent,No,2025-12-05
NG-10247,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,Not enabled,Sole party,Telephone and branch,"Electronic, one source",Direct,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2024-09-25
NG-10087,Personal,Sole trader or joint,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,Occasional payments,Sole party,"Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",Up to 10 percent,Up to 10 percent,Employer and retail,Consistent,No,2024-10-28
NG-10051,Personal,Individual,Natural person,General trade,No match,No match,United Kingdom,"Further tax residence, unlisted",Unlisted countries,Current account with credit,Withdrawal only,"Enabled, unused",Sole party,"Digital, assisted","Electronic, one source",Comparison site,"5k to 25k, consistent",Up to 10 percent,Up to 10 percent,Sector 4 counterparties,Consistent,No,2024-02-05
NG-10359,Sole trader,Sole trader or joint,Natural person,Cash-intensive trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, basic",2k to 10k a month,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",Up to 10 percent,None,Named businesses,"Minor, explained",No,2024-03-07
NG-10349,Sole trader,Sole trader or joint,Natural person,Cash-intensive trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, cash and international",Under 2k a month,Regular payments,Sole party,"Digital, own app",Certified copies,Direct,"5k to 25k, consistent",30 to 60 percent,None,Many individuals,Consistent,No,2025-03-16
NG-10374,Limited company,"UK company, corporate owner","Two layers, evidenced",General trade,No match,No match,United Kingdom,UK tax residence only,"Weaker AML, unlisted","Business account, basic",Under 2k a month,Occasional payments,Power of attorney,Branch,"Electronic, two sources",Direct,Above sector expectation,10 to 30 percent,Up to 10 percent,Many individuals,Consistent,No,2025-04-04
NG-10283,Personal,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,"Enabled, unused","Joint, related","Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",No cash credits,None,Employer and retail,Consistent,No,2024-11-18
NG-10164,Personal,Individual,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",No cash facility,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",10 to 30 percent,None,Employer and retail,Consistent,No,2025-09-29
NG-10146,Personal,Individual,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,Occasional payments,Sole party,"Digital, own app","Electronic, two sources",Comparison site,"Under 5k, consistent",Up to 10 percent,10 to 40 percent,Employer and retail,Consistent,No,2025-12-17
NG-10101,Personal,Individual,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",10 to 30 percent,None,Employer and retail,Consistent,No,2024-04-08
NG-10199,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,"Further tax residence, unlisted",UK only,"Current account, no overdraft",No cash facility,"Enabled, unused","Joint, related","Digital, own app","Electronic, two sources",Customer referral,"Under 5k, consistent",No cash credits,Over 40 percent,Many individuals,Consistent,No,2025-10-07
NG-10227,Personal,Individual,Natural person,Regulated profession,PEP family or associate,False positive,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,"Enabled, unused",Sole party,"Digital, own app",Certified copies,Direct,"5k to 25k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2025-11-06
NG-10269,Personal,Sole trader or joint,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,No cash facility,Occasional payments,Sole party,Branch,"Electronic, two sources",Direct,"5k to 25k, consistent",Up to 10 percent,Up to 10 percent,Employer and retail,Consistent,No,2025-05-07
NG-10159,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,Not enabled,"Joint, related","Digital, own app","Electronic, two sources",Customer referral,"Under 5k, consistent",No cash credits,None,Named businesses,Consistent,No,2024-02-08
NG-10153,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Savings only,Withdrawal only,"Enabled, unused",Sole party,"Digital, own app","Electronic, one source",Direct,"Under 5k, consistent",No cash credits,None,Employer and retail,Consistent,No,2025-03-11
NG-10183,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,"Enabled, unused",Sole party,Branch,"Electronic, one source",Direct,Above sector expectation,Up to 10 percent,Up to 10 percent,Employer and retail,Consistent,No,2024-10-10
NG-10054,Personal,Sole trader or joint,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,"Current account, no overdraft",No cash facility,Not enabled,Sole party,"Digital, own app","Electronic, one source",Direct,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2025-12-28
NG-10198,Personal,Individual,Natural person,Cash-intensive trade,No match,False positive,United Kingdom,UK tax residence only,UK only,Current account with credit,Withdrawal only,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",10 to 30 percent,Up to 10 percent,Employer and retail,Consistent,No,2024-06-12
NG-10342,Sole trader,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, basic",Under 2k a month,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",30 to 60 percent,Over 40 percent,Many individuals,Consistent,No,2024-01-03
NG-10289,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Withdrawal only,Occasional payments,"Joint, related","Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",10 to 30 percent,Over 40 percent,Employer and retail,"Minor, explained",No,2025-03-12
NG-10023,Personal,Individual,Natural person,Employed or pension,No match,False positive,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",2k to 10k a month,Occasional payments,Sole party,"Digital, assisted","Electronic, one source",Direct,"Under 5k, consistent",No cash credits,10 to 40 percent,Employer and retail,Consistent,No,2025-08-05
NG-10056,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Savings only,Withdrawal only,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",No cash credits,None,Employer and retail,Consistent,Yes,2025-02-04
NG-10346,Sole trader,Sole trader or joint,Natural person,Cash-intensive trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, basic",2k to 10k a month,Occasional payments,"Joint, related","Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",10 to 30 percent,None,Named businesses,Consistent,No,2024-02-25
NG-10301,Sole trader,Sole trader or joint,Natural person,Cash-intensive trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, basic",No cash facility,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",No cash credits,None,Many individuals,Consistent,No,2024-02-07
NG-10222,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,Occasional payments,"Mandate, evidenced","Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2025-08-01
NG-10129,Personal,Sole trader or joint,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,"Current account, no overdraft",Withdrawal only,Not enabled,"Joint, related","Digital, own app","Electronic, two sources",Comparison site,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2025-11-26
NG-10215,Personal,Individual,Natural person,Employed or pension,PEP family or associate,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,Regular payments,"Joint, related","Digital, assisted","Electronic, two sources",Direct,"Under 5k, consistent",30 to 60 percent,None,Employer and retail,Consistent,No,2024-02-10
NG-10327,Sole trader,Sole trader or joint,Natural person,Cash-intensive trade,No match,No match,United Kingdom,UK tax residence only,"Weaker AML, unlisted","Business account, basic",Over 10k a month,Occasional payments,Sole party,"Digital, assisted",Documents face to face,Comparison site,"Under 5k, consistent",Up to 10 percent,10 to 40 percent,Many individuals,Consistent,No,2024-05-25
NG-10127,Personal,Individual,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,Regular payments,Sole party,"Digital, own app","Electronic, two sources",Register checked,"5k to 25k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2024-01-21
NG-10136,Personal,Sole trader or joint,Natural person,Employed or pension,No match,No match,United Kingdom,"Further tax residence, monitored",UK only,Savings only,Withdrawal only,Occasional payments,Sole party,"Digital, own app","Electronic, one source",Customer referral,"5k to 25k, consistent",No cash credits,None,Employer and retail,"Minor, explained",No,2024-11-11
NG-10017,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Savings only,Withdrawal only,Occasional payments,Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",No cash credits,None,Employer and retail,Consistent,Yes,2025-06-13
NG-10110,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,Regular payments,"Joint, related","Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",Up to 10 percent,10 to 40 percent,Employer and retail,Consistent,No,2025-06-18
NG-10267,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,"Further tax residence, unlisted",UK only,Current account with credit,Withdrawal only,Not enabled,"Mandate, evidenced","Digital, own app",Documents face to face,Direct,"5k to 25k, consistent",No cash credits,None,Employer and retail,Consistent,No,2025-04-09
NG-10128,Personal,Individual,Natural person,Cash-intensive trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,"Enabled, unused",Sole party,"Digital, own app",Documents face to face,Customer referral,"Under 5k, consistent",10 to 30 percent,None,Employer and retail,Consistent,No,2024-04-05
NG-10161,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,"Current account, no overdraft",Withdrawal only,Payments to listed country,Sole party,"Digital, own app","Electronic, two sources",Customer referral,"5k to 25k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2024-03-14
NG-10050,Personal,Sole trader or joint,Natural person,Cash-intensive trade,No match,No match,United Kingdom,UK tax residence only,"Weaker AML, unlisted",Current account with credit,Withdrawal only,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Direct,"Over 25k, consistent",No cash credits,None,Employer and retail,Consistent,No,2025-03-19
NG-10246,Personal,Sole trader or joint,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Withdrawal only,Occasional payments,"Joint, related",Unsupervised intermediary,Documents face to face,Direct,"Under 5k, consistent",No cash credits,None,Employer and retail,Consistent,No,2024-04-14
NG-10075,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",2k to 10k a month,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",Up to 10 percent,Up to 10 percent,Many individuals,Consistent,No,2024-06-21
NG-10042,Personal,Individual,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Withdrawal only,Not enabled,"Joint, related","Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",Up to 10 percent,None,Employer and retail,Consistent,Yes,2024-03-05
NG-10392,Limited company,"UK company, corporate owner",One or two UBOs,General trade,No match,No match,United Kingdom,UK tax residence only,"Weaker AML, unlisted","Business account, cash and international",Over 10k a month,Regular payments,"Mandate, evidenced","Digital, own app","Electronic, two sources",Register checked,"Over 25k, consistent",No cash credits,None,Named businesses,Consistent,No,2025-01-12
NG-10331,Sole trader,Sole trader or joint,Natural person,Cash-intensive trade,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,"Business account, basic",2k to 10k a month,"Enabled, unused",Sole party,Branch,Documents face to face,Direct,"5k to 25k, consistent",30 to 60 percent,10 to 40 percent,Many individuals,"Minor, explained",No,2024-10-21
NG-10390,Limited company,"UK company, natural owners","Two layers, evidenced",General trade,No match,No match,United Kingdom,UK tax residence only,"Weaker AML, unlisted","Business account, basic",Withdrawal only,Occasional payments,"Mandate, evidenced","Digital, own app",Certified copies,Direct,"Over 25k, consistent",Over 60 percent,None,Named businesses,Consistent,No,2024-12-17
NG-10115,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Withdrawal only,Occasional payments,"Joint, related","Digital, assisted","Electronic, one source",Customer referral,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2025-08-27
NG-10169,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,Occasional payments,"Joint, related","Digital, own app","Electronic, one source",Direct,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2024-04-30
NG-10209,Personal,Individual,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,Current account with credit,No cash facility,Regular payments,"Mandate, evidenced","Digital, assisted","Electronic, two sources",Direct,"5k to 25k, consistent",Up to 10 percent,"Over 40 percent, listed country",Employer and retail,Consistent,No,2024-01-24
NG-10137,Personal,Individual,Natural person,Cash-intensive trade,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Withdrawal only,"Enabled, unused",Sole party,Branch,"Electronic, two sources",Direct,"Under 5k, consistent",Up to 10 percent,Up to 10 percent,Employer and retail,Consistent,No,2024-06-29
NG-10067,Personal,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,Not enabled,Sole party,"Digital, own app","Electronic, one source",Direct,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2025-05-20
NG-10259,Personal,Individual,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,Occasional payments,Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",No cash credits,Up to 10 percent,Employer and retail,Consistent,No,2025-03-24
NG-10013,Personal,Individual,Natural person,General trade,No match,No match,United Kingdom,"Further tax residence, unlisted",UK only,"Current account, no overdraft",Withdrawal only,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Comparison site,"Under 5k, consistent",10 to 30 percent,None,Employer and retail,Consistent,No,2025-06-27
NG-10389,Limited company,"UK company, natural owners","Nominee, bearer or unevidenced",General trade,No match,No match,United Kingdom,UK tax residence only,FATF call for action,"Business account, basic",Under 2k a month,Not enabled,"Mandate, evidenced","Digital, assisted",Documents face to face,Direct,"5k to 25k, consistent",10 to 30 percent,Up to 10 percent,Named businesses,Resolved on follow-up,No,2024-11-12
NG-10271,Personal,Sole trader or joint,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,Occasional payments,Sole party,"Digital, own app","Electronic, one source",Direct,"Under 5k, consistent",Up to 10 percent,None,Named businesses,Consistent,No,2025-07-11
NG-10047,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,Not enabled,Sole party,"Digital, assisted","Electronic, one source",Direct,"Under 5k, consistent",10 to 30 percent,Up to 10 percent,Employer and retail,Consistent,No,2024-10-11
NG-10179,Personal,Sole trader or joint,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,Regular payments,Sole party,"Digital, own app",Uncorroborated documents,Direct,"5k to 25k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2025-09-14
NG-10318,Sole trader,Sole trader or joint,Natural person,Cash-intensive trade,No match,No match,United Kingdom,"Further tax residence, unlisted",UK only,"Business account, basic",2k to 10k a month,Not enabled,"Joint, related","Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",Over 60 percent,Up to 10 percent,Many individuals,Consistent,No,2024-02-06
NG-10347,Sole trader,Sole trader or joint,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, basic",Under 2k a month,"Enabled, unused",Sole party,"Digital, own app",Documents face to face,Direct,"5k to 25k, consistent",No cash credits,None,Many individuals,"Minor, explained",No,2024-06-03
NG-10217,Personal,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,Occasional payments,"Joint, related","Digital, own app",Documents face to face,Direct,"Under 5k, consistent",No cash credits,None,Named businesses,Consistent,No,2024-07-12
NG-10305,Sole trader,Sole trader or joint,Natural person,Cash-intensive trade,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,"Business account, basic",2k to 10k a month,Occasional payments,Sole party,Branch,"Electronic, two sources",Direct,"5k to 25k, consistent",30 to 60 percent,None,Named businesses,Consistent,No,2024-11-30
NG-10138,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,"Further tax residence, unlisted",UK only,Current account with credit,Under 2k a month,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Direct,"Over 25k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2024-02-22
NG-10310,Sole trader,Sole trader or joint,Natural person,General trade,No match,False positive,United Kingdom,UK tax residence only,Unlisted countries,"Business account, basic",Under 2k a month,"Enabled, unused",Sole party,Branch,"Electronic, two sources",Direct,"5k to 25k, consistent",Up to 10 percent,None,Sector 4 counterparties,Consistent,No,2024-07-30
NG-10040,Personal,Sole trader or joint,Natural person,Employed or pension,No match,False positive,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,Not enabled,"Joint, related","Digital, own app","Electronic, two sources",Comparison site,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Resolved on follow-up,No,2025-11-29
NG-10080,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,Not enabled,Sole party,Branch,"Electronic, two sources",Customer referral,"5k to 25k, consistent",Up to 10 percent,Up to 10 percent,Employer and retail,Consistent,No,2024-11-16
NG-10274,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,"Enabled, unused",Sole party,"Digital, assisted","Electronic, two sources",Direct,"Under 5k, consistent",10 to 30 percent,10 to 40 percent,Employer and retail,Consistent,No,2024-04-17
NG-10384,Limited company,"UK company, natural owners",One or two UBOs,General trade,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,"Business account, cash and international",Withdrawal only,Occasional payments,Power of attorney,"Digital, own app",Documents face to face,Register checked,"5k to 25k, consistent",10 to 30 percent,None,Sector 4 counterparties,"Minor, explained",No,2024-05-16
NG-10089,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,No cash facility,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",10 to 30 percent,Up to 10 percent,Employer and retail,Consistent,No,2024-01-19
NG-10141,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,Occasional payments,Sole party,"Digital, own app","Electronic, one source",Direct,"Under 5k, consistent",No cash credits,None,Employer and retail,Consistent,No,2024-05-24
NG-10337,Sole trader,Sole trader or joint,Natural person,"MSB, TCSP or HVD",No match,No match,United Kingdom,UK tax residence only,Unlisted countries,"Business account, cash and international",2k to 10k a month,Occasional payments,Sole party,"Digital, assisted","Electronic, two sources",Direct,"5k to 25k, consistent",30 to 60 percent,10 to 40 percent,Named businesses,"Minor, explained",No,2024-11-03
NG-10065,Personal,Sole trader or joint,Natural person,Employed or pension,No match,False positive,United Kingdom,UK tax residence only,UK only,Current account with credit,Withdrawal only,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",Up to 10 percent,Up to 10 percent,Employer and retail,"Minor, explained",No,2024-10-15
NG-10163,Personal,Individual,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,"Enabled, unused","Joint, related","Digital, own app","Electronic, one source",Customer referral,"5k to 25k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2025-01-05
NG-10012,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Direct,"Over 25k, consistent",Up to 10 percent,Up to 10 percent,Employer and retail,Consistent,No,2024-04-21
NG-10316,Sole trader,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,"Business account, basic",Over 10k a month,Not enabled,Sole party,Telephone and branch,"Electronic, two sources",Direct,"5k to 25k, consistent",10 to 30 percent,Up to 10 percent,Sector 4 counterparties,Consistent,Yes,2025-11-10
NG-10311,Sole trader,Sole trader or joint,Natural person,Cash-intensive trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, basic",Over 10k a month,Not enabled,Sole party,Branch,Documents face to face,Direct,"Under 5k, consistent",10 to 30 percent,None,Many individuals,Consistent,No,2025-12-30
NG-10334,Sole trader,Sole trader or joint,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, cash and international",2k to 10k a month,Not enabled,Sole party,"Digital, assisted","Electronic, one source",Direct,"5k to 25k, consistent",Up to 10 percent,Up to 10 percent,Many individuals,Resolved on follow-up,No,2025-05-08
NG-10258,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,"Enabled, unused",Sole party,Telephone and branch,Documents face to face,Comparison site,"Under 5k, consistent",Up to 10 percent,Up to 10 percent,Sector 4 counterparties,Consistent,No,2024-06-07
NG-10073,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Savings only,Withdrawal only,Regular payments,Unexplained signatories,"Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",10 to 30 percent,None,Employer and retail,Consistent,No,2025-08-19
NG-10175,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Customer referral,Above sector expectation,Up to 10 percent,None,Employer and retail,Consistent,No,2025-07-21
NG-10064,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,"Further tax residence, unlisted",Unlisted countries,"Current account, no overdraft",Withdrawal only,Regular payments,Sole party,"Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",10 to 30 percent,None,Employer and retail,Consistent,No,2025-03-29
NG-10120,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",No cash credits,None,Employer and retail,Consistent,No,2024-08-31
NG-10330,Sole trader,Sole trader or joint,Natural person,Cash-intensive trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, basic",Under 2k a month,Not enabled,Sole party,"Digital, own app",Documents face to face,Register checked,"Over 25k, consistent",10 to 30 percent,"Over 40 percent, listed country",Named businesses,Consistent,No,2025-01-02
